date,so2,no2,rspm,spm,aqi
2004-01-01,6.433504994736003,58.2310139813439,238.33,398.0,135.96803456273813
2004-01-02,6.433504994736003,58.2310139813439,182.915,346.5,113.54639581928262
2004-01-03,6.433504994736003,58.2310139813439,136.96041143654114,343.92677824267787,103.33673085400407
2004-01-04,6.433504994736003,58.2310139813439,136.96041143654114,343.92677824267787,103.33673085400407
2004-01-05,6.433504994736003,58.2310139813439,160.0,340.0,107.36559477216218
2004-01-06,6.433504994736003,58.2310139813439,141.33499999999995,283.5,91.63427016483233
2004-01-07,6.433504994736003,58.2310139813439,120.17,259.0,82.061584300958
2004-01-08,6.433504994736003,58.2310139813439,123.165,303.5,91.98801885593183
2004-01-09,6.433504994736003,58.2310139813439,103.5,291.0,85.23784608106271
2004-01-10,6.433504994736003,58.2310139813439,136.96041143654114,343.92677824267787,103.33673085400407
2004-01-11,6.433504994736003,58.2310139813439,136.96041143654114,343.92677824267787,103.33673085400407
2004-01-12,6.433504994736003,58.2310139813439,121.585,299.0,90.71542199729308
2004-01-13,6.433504994736003,58.2310139813439,121.665,337.5,98.77492985069622
2004-01-14,6.433504994736003,58.2310139813439,157.0,323.0,103.18287225907318
2004-01-15,6.433504994736003,58.2310139813439,156.33499999999995,297.0,97.61149529572239
2004-01-16,6.433504994736003,58.2310139813439,154.66500000000005,257.0,88.90398744231926
2004-01-17,6.433504994736003,58.2310139813439,136.96041143654114,343.92677824267787,103.33673085400407
2004-01-18,6.433504994736003,58.2310139813439,208.0,428.0,135.85145864650775
2004-01-19,6.433504994736003,58.2310139813439,116.835,291.0,88.0444795889161
2004-01-20,6.433504994736003,58.2310139813439,173.25,326.0,107.22973089781664
2004-01-21,6.433504994736003,58.2310139813439,98.5,156.0,55.983919379492036
2004-01-22,6.433504994736003,58.2310139813439,68.66499999999999,200.0,58.89613403917788
2004-01-23,6.433504994736003,58.2310139813439,128.0,276.0,87.26088273027736
2004-01-24,6.433504994736003,58.2310139813439,136.96041143654114,343.92677824267787,103.33673085400407
2004-01-25,6.433504994736003,58.2310139813439,136.96041143654114,343.92677824267787,103.33673085400407
2004-01-26,6.433504994736003,58.2310139813439,136.96041143654114,343.92677824267787,103.33673085400407
2004-01-27,6.433504994736003,58.2310139813439,125.665,254.0,82.17362095017266
2004-01-28,6.433504994736003,58.2310139813439,129.0,322.5,97.1852282800156
2004-01-29,6.433504994736003,58.2310139813439,116.67,256.5,80.80268377739779
2004-01-30,6.433504994736003,58.2310139813439,136.96041143654114,343.92677824267787,103.33673085400407
2004-01-31,6.433504994736003,58.2310139813439,136.96041143654114,343.92677824267787,103.33673085400407
2004-02-01,6.433504994736003,58.2310139813439,136.96041143654114,343.92677824267787,103.33673085400407
2004-02-02,6.433504994736003,58.2310139813439,136.96041143654114,343.92677824267787,103.33673085400407
2004-02-03,6.433504994736003,58.2310139813439,91.5,234.0,70.804861787869
2004-02-04,6.433504994736003,58.2310139813439,87.83500000000002,271.0,77.76280419624595
2004-02-05,6.433504994736003,58.2310139813439,93.55333333333333,257.3333333333333,76.11137487687422
2004-02-06,6.433504994736003,58.2310139813439,149.66500000000005,311.0,99.13225969362816
2004-02-07,6.433504994736003,58.2310139813439,136.96041143654114,343.92677824267787,103.33673085400407
2004-02-08,6.433504994736003,58.2310139813439,136.96041143654114,343.92677824267787,103.33673085400407
2004-02-09,6.433504994736003,58.2310139813439,115.5,403.0,111.16035917006795
2004-02-10,6.433504994736003,58.2310139813439,105.165,230.5,72.94979896064386
2004-02-11,6.433504994736003,58.2310139813439,103.83,233.5,73.29552147373286
2004-02-12,6.433504994736003,58.2310139813439,84.0,211.0,64.42161571457056
2004-02-13,6.433504994736003,58.2310139813439,114.335,305.5,90.54735917006795
2004-02-14,6.433504994736003,58.2310139813439,136.96041143654114,343.92677824267787,103.33673085400407
2004-02-15,6.433504994736003,58.2310139813439,136.96041143654114,343.92677824267787,103.33673085400407
2004-02-16,6.433504994736003,58.2310139813439,119.665,294.5,89.37126492923025
2004-02-17,6.433504994736003,58.2310139813439,134.5,245.0,82.15302932713601
2004-02-18,6.433504994736003,58.2310139813439,136.96041143654114,343.92677824267787,103.33673085400407
2004-02-19,6.433504994736003,58.2310139813439,135.0,301.0,93.95669424860198
2004-02-20,6.433504994736003,58.2310139813439,98.835,279.5,81.85364189258104
2004-02-21,6.433504994736003,58.2310139813439,136.96041143654114,343.92677824267787,103.33673085400407
2004-02-22,6.433504994736003,58.2310139813439,136.96041143654114,343.92677824267787,103.33673085400407
2004-02-23,6.433504994736003,58.2310139813439,91.0,369.0,98.90119686640304
2004-02-24,6.433504994736003,58.2310139813439,117.665,277.5,85.39901362032973
2004-02-25,6.433504994736003,58.2310139813439,126.67,268.0,85.30975184022502
2004-02-26,6.433504994736003,58.2310139813439,159.335,344.0,108.06123351561769
2004-02-27,6.433504994736003,58.2310139813439,136.96041143654114,343.92677824267787,103.33673085400407
2004-02-28,6.433504994736003,58.2310139813439,136.96041143654114,343.92677824267787,103.33673085400407
2004-02-29,6.433504994736003,58.2310139813439,136.96041143654114,343.92677824267787,103.33673085400407
2004-03-01,6.433504994736003,58.2310139813439,145.83,341.0,104.59211833237163
2004-03-02,6.433504994736003,58.2310139813439,136.96041143654114,343.92677824267787,103.33673085400407
2004-03-03,6.433504994736003,58.2310139813439,138.835,374.0,110.0135895365601
2004-03-04,6.433504994736003,58.2310139813439,133.335,406.0,115.54081466745015
2004-03-05,6.433504994736003,58.2310139813439,115.0,261.0,81.39124922242397
