date,so2,no2,rspm,spm
2010-05-22,3.3739473684210526,65.35947368421053,217.4763157894737,497.0
2010-05-23,3.3678947368421053,65.23894736842105,217.15263157894736,497.0
2010-05-24,3.361842105263158,65.11842105263158,216.82894736842104,497.0
2010-05-25,3.3557894736842107,64.9978947368421,216.50526315789475,497.0
2010-05-26,3.349736842105263,64.87736842105264,216.18157894736842,497.0
2010-05-27,3.3436842105263156,64.75684210526316,215.8578947368421,497.0
2010-05-28,3.3376315789473683,64.63631578947368,215.5342105263158,497.0
2010-05-29,3.331578947368421,64.51578947368421,215.21052631578948,497.0
2010-05-30,3.3255263157894737,64.39526315789473,214.88684210526316,497.0
2010-05-31,3.3194736842105264,64.27473684210526,214.56315789473683,497.0
2010-06-01,3.313421052631579,64.15421052631578,214.2394736842105,497.0
2010-06-02,3.3073684210526313,64.03368421052632,213.9157894736842,497.0
2010-06-03,3.3013157894736844,63.91315789473684,213.5921052631579,497.0
2010-06-04,3.2952631578947367,63.792631578947365,213.2684210526316,497.0
2010-06-05,3.2892105263157894,63.67210526315789,212.94473684210527,497.0
2010-06-06,3.283157894736842,63.55157894736842,212.62105263157895,497.0
2010-06-07,3.2771052631578947,63.43105263157895,212.29736842105262,497.0
2010-06-08,3.2710526315789474,63.310526315789474,211.9736842105263,497.0
2010-06-09,3.2649999999999997,63.19,211.65,497.0
2010-06-10,3.258947368421053,63.06947368421052,211.32631578947368,497.0
2010-06-11,3.252894736842105,62.94894736842105,211.00263157894736,497.0
2010-06-12,3.2468421052631578,62.828421052631576,210.67894736842106,497.0
2010-06-13,3.2407894736842104,62.70789473684211,210.35526315789474,497.0
2010-06-14,3.234736842105263,62.58736842105263,210.03157894736842,497.0
2010-06-15,3.228684210526316,62.466842105263154,209.7078947368421,497.0
2010-06-16,3.222631578947368,62.34631578947368,209.3842105263158,497.0
2010-06-17,3.216578947368421,62.22578947368421,209.06052631578947,497.0
2010-06-18,3.2105263157894735,62.10526315789474,208.73684210526315,497.0
2010-06-19,3.2044736842105266,61.984736842105264,208.41315789473686,497.0
2010-06-20,3.198421052631579,61.86421052631579,208.08947368421053,497.0
